Object,Frame-0,Frame-1,Frame-2,Frame-3
Accent Paving,0,0,0,0
Barrier Post,0,0,0,0
Barrier Stump,0,0,0,0
Bench,0,0,0,0
Bicycle,0,0,0,0
Bridge,0,0,0,0
Building,0,0,0,0
Bus,0,0,0,0
Bus Stop,0,0,0,0
Car,0,0,0,0
Chair,0,0,0,0
Closed Sidewalk,0,0,0,0
Counter,0,0,0,0
Crosswalk,0,0,0,0
Curb,0,0,0,0
Dog,0,0,0,0
Driveway(flat),0,0,0,0
Elevator,0,0,0,0
Escalator,0,0,0,0
Fence,0,0,0,0
Fire hydrant,0,0,0,0
Flush Door,0,0,0,0
Foldout Sign,0,0,0,0
Fountain,0,0,0,0
Gate,0,0,0,0
Guide dog,0,0,0,0
Gutter,0,0,0,0
Hose,0,0,0,0
Lamp Post,0,0,0,0
Mail box,0,0,0,0
Maintenance Vehicle,0,0,0,0
Motorcycle,0,0,0,0
Overhanging Tree Branches,0,0,0,0
Parallel Parking Spot,0,0,0,0
Paratransit vehicle,0,0,0,0
Pedestrian Crossing,0,0,0,0
Person,0,0,0,0
Person with a disability,0,0,0,0
Pillar,0,0,0,0
Pole,0,0,0,0
Puddle,0,0,0,0
Push button,0,0,0,0
Railing,0,0,0,0
Raised Entryway,0,0,0,0
Retaining Wall,0,0,0,0
Road,0,0,0,0
Road Divider,0,0,0,0
Road Shoulder,0,0,0,0
Roadside Parking,0,0,0,0
Sidewalk,0,0,0,0
Sidewalk pits,0,0,0,0
Sign,0,0,0,0
Sign Post,0,0,0,0
Sloped Driveway,0,0,0,0
Slopped Curb,0,0,0,0
Snow,0,0,0,0
Stairs,0,0,0,0
Stop sign,0,0,0,0
Street Vendor,0,0,0,0
Table,0,0,0,0
Tactile Paving,0,0,0,0
Traffic Signals,0,0,0,0
Train Platform,0,0,0,0
Train Tracks,0,0,0,0
Trash bins,1,1,1,1
Trash on roads,0,0,0,0
Tree,0,0,0,0
Turnstile,0,0,0,0
Uncontrolled Crossing,0,0,0,0
Uneven Stairs,0,0,0,0
Unpaved Road,0,0,0,0
Unpaved Sidewalk,0,0,0,0
Vegetation,0,0,0,0
Wall,0,0,0,0
Water leakage,0,0,0,0
Water Pipes,0,0,0,0
Wet surface,0,0,0,0
Wheelchair,0,0,0,0
White Cane,0,1,0,0
Yard Waste,0,0,0,0