All_ones,All_zeroes,Switch_pattern_1,Switch_pattern_2,Switch_pattern_3,Switch_pattern_4,isolated_one,isolated_zero,island_ones_1,island_ones_2,island_ones_3,island_zeroes_1,island_zeroes_2,island_zeroes_3,Rating,Mean-Centered_rating,MC_with_MinMax,model,timing
14,5,0,0,0,3,34,28,3,6,0,3,2,3,0.8,-0.1166666666666665,0.4033898305084746,Random,411.0
36,3,0,0,2,0,8,12,1,0,0,5,0,0,0.9,-0.0166666666666666,0.4847457627118645,GPV-1,351.0
35,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9,-0.0166666666666666,0.4847457627118645,GPV-1@Shadow,169.0
39,0,0,0,0,1,3,8,1,0,0,0,0,0,0.9,-0.0166666666666666,0.4847457627118645,GPT4V@Shadow,262.0
207,4,0,0,1,0,8,30,1,0,1,2,1,0,1.0,0.0833333333333333,0.5661016949152543,GT_N,204.0
58,4,0,0,0,0,4,4,0,0,0,0,0,0,1.0,0.0833333333333333,0.5661016949152543,GT_N,182.0
9,15,0,0,0,0,9,7,1,0,0,1,1,0,0.8,-0.1166666666666665,0.4033898305084746,GPV-1,252.0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0833333333333333,0.5661016949152543,BLIP,145.0
41,8,0,0,1,0,14,16,1,3,0,2,1,1,1.0,0.0833333333333333,0.5661016949152543,BLIP,143.0
16,13,0,0,0,0,6,5,2,0,0,0,0,0,1.0,0.0833333333333333,0.5661016949152543,GPT4V,108.0
45,0,0,0,0,0,3,4,0,1,0,0,1,0,1.0,0.0833333333333333,0.5661016949152543,GPV-1@Shadow,103.0
16,0,0,0,0,0,2,14,0,0,0,2,1,0,0.9,-0.0166666666666666,0.4847457627118645,GPT4V,122.0
37,0,0,0,0,0,1,9,0,1,0,0,0,0,0.9,-0.0166666666666666,0.4847457627118645,GPT4V@Shadow,119.0
24,0,0,0,0,0,6,16,0,1,0,2,2,0,0.8,-0.1166666666666665,0.4033898305084746,BLIP@shadow,283.0
49,3,0,0,1,0,4,7,0,0,0,1,0,0,0.9,-0.0166666666666666,0.4847457627118645,GPV-1,232.0
2,2,1,0,1,0,8,11,4,0,1,3,1,0,0.8,-0.1166666666666665,0.4033898305084746,Random,227.0
90,1,0,0,0,0,3,3,0,0,0,0,0,0,0.9,-0.0166666666666666,0.4847457627118645,BLIP,116.0
28,5,0,0,1,0,8,5,1,0,0,1,0,0,1.0,0.0833333333333333,0.5661016949152543,GPT4V@Shadow,103.0
35,0,0,0,0,1,3,10,1,0,0,0,0,0,0.9,-0.0166666666666666,0.4847457627118645,BLIP@shadow,125.0
44,0,0,0,0,0,0,8,0,0,0,0,0,0,0.9,-0.0166666666666666,0.4847457627118645,BLIP@shadow,188.0
2,3,0,0,2,0,27,35,7,4,2,6,9,0,0.8,-0.1166666666666665,0.4033898305084746,Random,156.0
103,92,0,0,0,0,12,5,0,0,0,0,0,0,1.0,0.0833333333333333,0.5661016949152543,GT_N,73.0
28,0,0,1,0,0,2,4,0,0,0,0,1,0,1.0,0.0833333333333333,0.5661016949152543,GPT4V,113.0
30,0,0,0,1,0,2,5,1,0,0,1,0,0,0.9,-0.0166666666666666,0.4847457627118645,GPV-1@Shadow,116.0
19,0,0,0,0,0,2,18,0,0,0,0,0,0,0.3,-0.2166666666666667,0.3220338983050846,BLIP@shadow,343.0
90,77,1,1,2,2,26,49,3,2,3,2,3,0,0.7,0.1833333333333332,0.647457627118644,GPV-1,283.0
42,0,0,0,1,1,6,12,1,1,0,1,0,0,0.7,0.1833333333333332,0.647457627118644,GPT4V@Shadow,187.0
22,3,0,0,2,0,7,5,1,1,1,3,0,0,0.8,0.2833333333333333,0.728813559322034,BLIP,281.0
25,22,0,0,0,0,2,6,0,0,0,0,0,0,0.9,0.3833333333333333,0.8101694915254237,GT_N,216.0
6,0,1,1,1,0,18,31,4,4,2,8,3,0,0.5,-0.0166666666666667,0.4847457627118643,Random,456.0
33,0,0,0,1,0,2,16,0,0,0,1,0,0,0.3,-0.2166666666666667,0.3220338983050846,GPV-1@Shadow,302.0
48,35,0,0,0,0,1,0,0,0,0,0,0,0,0.5,-0.0166666666666667,0.4847457627118643,BLIP,416.0
42,8,0,0,1,0,10,14,0,0,0,3,0,0,0.8,0.2833333333333333,0.728813559322034,BLIP,136.0
36,13,0,0,3,1,12,23,3,0,2,6,1,0,0.8,0.2833333333333333,0.728813559322034,GPV-1,145.0
89,151,0,0,1,1,34,36,5,0,2,2,0,0,0.6,0.0833333333333332,0.5661016949152542,GPT4V,150.0
45,0,0,0,0,0,3,12,0,0,0,1,1,0,0.5,-0.0166666666666667,0.4847457627118643,GPV-1@Shadow,113.0
12,30,0,0,0,0,10,8,1,0,0,0,2,0,0.2,-0.3166666666666667,0.2406779661016948,GPT4V,107.0
28,0,0,0,0,1,3,18,1,0,1,1,0,0,0.4,-0.1166666666666667,0.4033898305084745,GPT4V@Shadow,154.0
59,17,0,0,3,0,22,26,1,2,1,6,0,1,0.5,-0.0166666666666667,0.4847457627118643,GPV-1,116.0
5,2,4,2,0,1,22,23,3,2,1,2,2,2,0.7,0.1833333333333332,0.647457627118644,Random,103.0
59,0,0,0,0,0,3,5,1,0,0,1,0,0,0.4,-0.1166666666666667,0.4033898305084745,BLIP@shadow,98.0
97,63,0,0,0,0,33,35,0,3,1,4,0,0,0.9,0.3833333333333333,0.8101694915254237,GT_N,114.0
35,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,-0.3166666666666667,0.2406779661016948,GPV-1@Shadow,57.0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-0.3166666666666667,0.2406779661016948,GPT4V@Shadow,77.0
7,1,0,0,0,1,16,23,1,1,0,3,4,1,0.3,-0.2166666666666667,0.3220338983050846,Random,214.0
55,21,0,0,1,1,22,18,1,2,1,1,2,0,0.5,-0.0166666666666667,0.4847457627118643,GPT4V,128.0
71,0,0,0,0,1,4,21,2,0,2,1,0,0,0.1,-0.4166666666666667,0.159322033898305,BLIP@shadow,65.0
101,4,0,0,0,0,9,10,0,0,0,0,0,0,0.6,0.0833333333333332,0.5661016949152542,GT_N,108.0
34,0,0,0,0,0,1,7,0,0,0,1,0,0,0.9,0.3333333333333332,0.7694915254237288,BLIP@shadow,552.0
77,84,2,1,2,2,43,32,7,5,2,4,1,1,0.4,-0.1666666666666667,0.3627118644067796,GPT4V,492.0
28,0,0,0,0,3,8,11,3,1,0,1,0,0,0.4,-0.1666666666666667,0.3627118644067796,GPV-1@Shadow,402.0
24,0,0,0,0,1,4,19,1,2,0,0,0,0,0.4,-0.1666666666666667,0.3627118644067796,GPT4V@Shadow,410.0
51,105,0,0,1,0,27,21,6,0,1,1,0,0,0.5,-0.0666666666666667,0.4440677966101694,BLIP,166.0
43,23,0,0,0,0,3,6,0,0,0,0,0,0,0.7,0.1333333333333332,0.606779661016949,GT_N,135.0
12,9,0,0,0,0,10,9,1,0,0,2,1,0,0.5,-0.0666666666666667,0.4440677966101694,GPV-1,257.0
24,24,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.4333333333333332,0.8508474576271187,GPT4V,104.0
15,8,0,0,0,1,11,7,1,2,0,0,0,0,0.8,0.2333333333333332,0.688135593220339,GPT4V,114.0
17,0,0,0,0,0,1,13,1,0,0,1,0,0,0.7,0.1333333333333332,0.606779661016949,BLIP@shadow,106.0
41,0,0,0,0,0,2,5,0,0,0,0,0,0,1.0,0.4333333333333332,0.8508474576271187,GT_N,104.0
52,1,0,0,0,0,9,20,0,1,0,1,0,1,0.8,0.2333333333333332,0.688135593220339,BLIP,82.0
35,14,1,0,1,1,13,18,2,1,0,3,1,1,0.7,0.1333333333333332,0.606779661016949,BLIP,98.0
37,31,0,0,2,0,37,52,6,3,4,6,7,1,0.7,0.1333333333333332,0.606779661016949,GPV-1,118.0
31,0,2,2,0,1,5,13,1,0,0,0,0,0,0.3,-0.2666666666666668,0.2813559322033897,GPT4V@Shadow,107.0
21,0,0,0,0,2,7,17,3,0,0,0,0,0,0.5,-0.0666666666666667,0.4440677966101694,GPV-1@Shadow,71.0
6,3,0,0,0,0,11,15,1,2,0,4,0,1,0.1,-0.4666666666666668,0.11864406779661,Random,72.0
1,16,1,1,0,0,33,20,5,4,1,5,2,1,0.1,-0.4666666666666668,0.11864406779661,Random,123.0
38,4,0,0,1,0,7,12,1,0,1,1,1,1,0.6,0.0333333333333332,0.5254237288135593,GPV-1,78.0
7,0,0,0,2,0,11,21,5,1,2,4,3,0,0.4,-0.1666666666666667,0.3627118644067796,Random,90.0
19,0,0,0,1,0,7,16,1,1,0,4,1,0,0.3,-0.2666666666666668,0.2813559322033897,GPT4V@Shadow,124.0
24,0,1,0,0,0,1,9,0,0,1,0,0,0,0.7,0.1333333333333332,0.606779661016949,GT_N,61.0
4,0,0,1,0,2,11,21,4,2,1,1,3,0,0.5,-0.0666666666666667,0.4440677966101694,BLIP@shadow,128.0
29,0,0,0,0,0,0,13,0,0,0,0,0,0,0.6,0.0333333333333332,0.5254237288135593,GPV-1@Shadow,72.0
33,19,1,1,3,3,83,65,12,8,4,14,4,6,0.1,-0.35,0.2135593220338983,Random,262.0
37,13,0,0,1,0,3,5,2,0,0,1,0,0,0.6,0.15,0.6203389830508474,GPV-1,202.0
2,18,0,0,1,0,22,9,0,5,0,2,0,0,0.8,0.3500000000000001,0.7830508474576272,GPT4V,286.0
52,27,0,0,0,0,7,10,0,0,1,0,1,0,1.0,0.55,0.945762711864407,GT_N,217.0
64,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-0.4499999999999999,0.1322033898305084,GPV-1@Shadow,163.0
49,1,2,1,0,0,5,4,0,0,0,0,0,1,0.6,0.15,0.6203389830508474,BLIP@shadow,335.0
6,2,0,0,2,0,24,21,7,3,1,9,2,2,0.1,-0.35,0.2135593220338983,Random,244.0
11,9,0,0,1,0,5,15,0,0,1,3,1,0,0.7,0.25,0.7016949152542373,GPT4V,248.0
16,1,0,0,0,1,6,6,2,0,0,1,0,1,0.1,-0.35,0.2135593220338983,GPV-1,107.0
50,5,0,0,0,0,3,5,0,0,0,1,0,0,0.8,0.3500000000000001,0.7830508474576272,GPT4V@Shadow,135.0
48,24,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-0.1499999999999999,0.376271186440678,BLIP,191.0
51,1,0,0,0,0,8,18,0,1,0,0,1,1,0.6,0.15,0.6203389830508474,BLIP@shadow,185.0
18,0,0,0,0,1,5,16,3,0,0,0,0,0,0.1,-0.35,0.2135593220338983,BLIP@shadow,150.0
72,14,0,0,0,0,10,7,0,0,0,0,0,0,0.8,0.3500000000000001,0.7830508474576272,BLIP,147.0
84,25,0,0,0,0,15,16,2,0,0,0,1,0,0.9,0.45,0.8644067796610171,GT_N,145.0
2,1,2,4,0,0,15,21,0,3,0,4,1,1,0.0,-0.4499999999999999,0.1322033898305084,Random,82.0
86,8,0,0,0,0,7,14,0,0,1,0,1,0,0.9,0.45,0.8644067796610171,GT_N,78.0
17,0,1,1,1,0,12,36,0,3,1,2,1,0,0.0,-0.4499999999999999,0.1322033898305084,GPV-1@Shadow,80.0
39,0,0,0,2,0,4,16,0,0,0,2,0,0,0.0,-0.4499999999999999,0.1322033898305084,GPV-1@Shadow,65.0
30,8,0,0,0,0,1,6,0,0,0,0,0,0,0.9,0.45,0.8644067796610171,GPV-1,121.0
84,17,0,0,0,0,10,9,0,0,0,0,0,0,0.7,0.25,0.7016949152542373,BLIP,130.0
31,0,1,0,1,0,6,29,1,2,0,3,0,0,0.2,-0.2499999999999999,0.2949152542372881,GPT4V@Shadow,169.0
114,107,0,0,0,1,26,18,1,1,1,0,0,0,0.6,0.15,0.6203389830508474,GPT4V,94.0
56,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,-0.4499999999999999,0.1322033898305084,GPT4V@Shadow,63.0
30,4,0,0,3,1,29,27,4,6,0,5,1,1,0.2,-0.4124999999999999,0.1627118644067796,GPV-1@Shadow,269.0
28,0,0,0,0,2,6,23,2,1,0,1,0,0,0.8,0.1875000000000001,0.6508474576271187,GPV-1@Shadow,209.0
6,10,0,0,2,3,51,30,10,3,0,8,4,5,0.0,-0.6124999999999999,0.0,Random,99.0
24,0,0,0,3,1,7,8,2,2,0,4,0,0,0.4,-0.2124999999999999,0.3254237288135593,GPV-1@Shadow,319.0
56,0,0,0,1,0,5,24,0,1,3,2,0,0,0.4,-0.2124999999999999,0.3254237288135593,GPT4V@Shadow,127.0
42,4,0,0,1,0,6,5,2,0,0,2,1,1,0.8,0.1875000000000001,0.6508474576271187,GPV-1,112.0
65,73,0,0,1,0,17,12,0,2,1,1,2,0,0.9,0.2875000000000001,0.7322033898305086,GPT4V,76.0
22,40,0,0,0,0,10,6,0,0,0,1,0,1,1.0,0.3875,0.8135593220338984,GPT4V,143.0
41,4,0,0,0,0,18,13,3,3,0,2,0,2,0.8,0.1875000000000001,0.6508474576271187,GPT4V@Shadow,122.0
63,19,0,0,1,0,13,10,2,1,0,1,0,0,0.8,0.1875000000000001,0.6508474576271187,BLIP,114.0
87,0,0,0,0,2,4,9,2,0,0,0,0,0,0.4,-0.2124999999999999,0.3254237288135593,BLIP@Shadow,367.0
50,12,0,0,0,1,12,17,2,1,2,0,0,0,0.7,0.0875,0.5694915254237288,GPV-1,187.0
70,0,0,0,0,0,0,2,0,0,0,0,0,0,0.6,-0.0124999999999999,0.488135593220339,BLIP@Shadow,109.0
13,5,1,2,2,2,48,55,11,7,5,9,5,4,0.0,-0.6124999999999999,0.0,Random,45.0
28,2,0,0,3,1,16,28,6,2,1,9,0,1,0.5,-0.1124999999999999,0.4067796610169492,BLIP@Shadow,113.0
45,42,0,0,0,0,5,4,0,0,0,0,0,0,0.9,0.2875000000000001,0.7322033898305086,GT_N,110.0
13,36,0,0,0,0,20,7,0,1,0,0,0,0,0.9,0.2875000000000001,0.7322033898305086,GPT4V@Shadow,78.0
135,33,0,0,0,1,14,20,1,0,0,2,1,0,0.6,-0.0124999999999999,0.488135593220339,BLIP,124.0
42,13,0,0,0,1,17,19,3,0,0,0,2,2,0.6,-0.0124999999999999,0.488135593220339,GPV-1,105.0
204,246,0,0,1,0,15,35,2,1,1,2,1,0,0.9,0.2875000000000001,0.7322033898305086,GT_N,71.0
37,35,2,2,0,1,11,15,1,2,0,0,0,0,0.6,-0.0124999999999999,0.488135593220339,GPT4V,146.0
46,60,0,0,0,0,10,11,1,0,0,0,1,0,0.9,0.2875000000000001,0.7322033898305086,GT_N,85.0
4,2,3,3,2,5,43,48,10,6,1,13,6,2,0.1,-0.5125,0.0813559322033898,Random,56.0
35,38,0,1,3,0,11,13,4,0,0,4,0,0,0.9,0.2875000000000001,0.7322033898305086,BLIP,59.0
26,6,0,0,0,0,12,18,0,0,2,2,1,1,0.7,-0.0333333333333334,0.471186440677966,BLIP,367.0
37,0,0,0,0,0,0,8,0,0,0,0,0,0,0.8,0.0666666666666666,0.5525423728813559,GPV-1@Shadow,307.0
51,0,0,0,0,2,6,16,2,0,0,1,0,0,0.9,0.1666666666666666,0.6338983050847458,BLIP@Shadow,92.0
45,0,0,0,0,0,1,8,0,0,0,0,0,0,0.9,0.1666666666666666,0.6338983050847458,GPV-1,260.0
1,1,1,1,0,1,15,20,4,3,1,6,0,0,0.6,-0.1333333333333334,0.3898305084745762,Random,113.0
21,0,0,0,1,1,3,10,2,0,0,1,0,0,0.7,-0.0333333333333334,0.471186440677966,BLIP@Shadow,247.0
61,7,0,0,1,0,10,9,0,0,1,1,0,0,0.9,0.1666666666666666,0.6338983050847458,GT_N,91.0
24,0,0,0,1,0,4,13,0,1,1,2,0,0,0.8,0.0666666666666666,0.5525423728813559,GPV-1,280.0
58,0,0,0,0,0,0,2,0,0,0,0,0,0,1.0,0.2666666666666666,0.7152542372881355,GPV-1@Shadow,44.0
4,0,3,3,0,1,12,20,1,2,0,4,0,0,0.7,-0.0333333333333334,0.471186440677966,Random,111.0
88,4,0,0,1,0,10,17,0,0,1,1,0,0,0.6,-0.1333333333333334,0.3898305084745762,GT_N,199.0
22,0,1,0,0,0,3,9,0,1,0,0,0,0,0.8,0.0666666666666666,0.5525423728813559,GPV-1@Shadow,61.0
40,0,0,0,0,0,0,12,0,0,0,0,0,0,0.7,-0.0333333333333334,0.471186440677966,BLIP@Shadow,157.0
24,2,0,1,0,0,5,11,0,0,0,0,1,0,0.9,0.1666666666666666,0.6338983050847458,GPT4V,64.0
25,22,0,0,0,0,8,10,0,0,1,0,0,1,0.2,-0.5333333333333334,0.0644067796610168,BLIP,68.0
34,0,0,0,0,2,5,19,2,0,0,1,0,0,0.8,0.0666666666666666,0.5525423728813559,GPT4V@Shadow,83.0
40,0,2,1,0,0,10,22,0,1,0,0,3,0,0.8,0.0666666666666666,0.5525423728813559,GPV-1,125.0
9,4,0,0,0,0,8,2,1,1,0,2,0,1,0.7,-0.0333333333333334,0.471186440677966,BLIP,58.0
6,6,0,0,2,0,17,13,4,2,1,3,0,0,0.8,0.0666666666666666,0.5525423728813559,GPT4V,89.0
25,0,0,0,1,0,6,13,1,0,1,3,1,0,0.8,0.0666666666666666,0.5525423728813559,GPT4V@Shadow,132.0
3,18,0,0,0,1,22,9,1,3,0,0,0,2,0.5,-0.2333333333333334,0.3084745762711863,GPT4V,53.0
2,1,0,0,2,0,11,18,4,3,2,7,0,0,0.3,-0.4333333333333334,0.1457627118644066,Random,34.0
47,3,0,0,0,1,4,9,1,0,0,0,0,0,1.0,0.2666666666666666,0.7152542372881355,GT_N,40.0
15,0,0,0,1,2,11,15,3,1,0,2,1,0,0.7,-0.0333333333333334,0.471186440677966,GPT4V@Shadow,65.0
31,8,0,0,0,0,11,9,0,0,0,0,0,0,0.8,-0.0416666666666667,0.4644067796610169,GPV-1,132.0
60,48,0,0,0,0,8,7,0,0,0,0,0,0,1.0,0.1583333333333332,0.6271186440677965,GT_N,72.0
41,0,0,0,0,0,0,13,0,0,1,0,0,0,0.8,-0.0416666666666667,0.4644067796610169,GPV-1@Shadow,194.0
20,0,2,2,0,0,5,22,1,0,0,2,0,0,0.7,-0.1416666666666668,0.3830508474576269,GPT4V@Shadow,212.0
24,33,0,0,0,0,4,4,0,0,0,0,0,0,1.0,0.1583333333333332,0.6271186440677965,GT_N,34.0
63,6,0,0,1,0,5,9,1,0,0,1,0,0,0.9,0.0583333333333332,0.5457627118644067,BLIP,56.0
57,23,0,0,0,0,2,12,1,0,0,0,1,0,0.9,0.0583333333333332,0.5457627118644067,GPV-1,186.0
1,3,0,0,0,3,22,10,5,3,0,2,1,1,0.7,-0.1416666666666668,0.3830508474576269,Random,127.0
5,2,0,2,1,1,32,35,9,3,2,12,5,1,0.6,-0.2416666666666668,0.3016949152542371,Random,235.0
49,18,0,0,0,0,1,11,1,0,0,0,1,0,1.0,0.1583333333333332,0.6271186440677965,BLIP,186.0
64,13,0,0,2,0,21,27,4,0,1,6,0,2,0.8,-0.0416666666666667,0.4644067796610169,GPV-1,77.0
90,46,0,0,0,0,7,10,0,0,1,0,1,0,1.0,0.1583333333333332,0.6271186440677965,GT_N,52.0
125,372,2,1,3,5,65,44,11,6,2,6,1,1,0.8,-0.0416666666666667,0.4644067796610169,GPT4V,100.0
44,2,0,0,2,1,18,22,4,2,2,4,0,2,0.8,-0.0416666666666667,0.4644067796610169,BLIP@Shadow,61.0
29,3,0,0,1,0,12,14,1,2,1,2,0,0,0.8,-0.0416666666666667,0.4644067796610169,BLIP,36.0
117,70,0,0,1,0,18,34,0,0,1,2,0,1,0.9,0.0583333333333332,0.5457627118644067,GPT4V,67.0
7,5,2,3,0,2,28,42,4,4,2,11,2,0,0.7,-0.1416666666666668,0.3830508474576269,Random,203.0
63,4,2,1,0,1,25,23,3,2,1,4,2,2,0.7,-0.1416666666666668,0.3830508474576269,GPT4V@Shadow,58.0
96,0,0,0,0,0,2,9,0,0,0,0,1,0,0.8,-0.0416666666666667,0.4644067796610169,BLIP@Shadow,92.0
96,0,0,0,1,3,10,25,5,0,1,2,0,0,0.9,0.0583333333333332,0.5457627118644067,GPV-1@Shadow,55.0
46,69,0,0,0,0,8,5,1,0,0,0,1,0,1.0,0.1583333333333332,0.6271186440677965,GPT4V,73.0
31,15,1,0,2,0,34,35,3,4,1,7,3,0,0.6,-0.2416666666666668,0.3016949152542371,GPV-1@Shadow,112.0
69,0,0,0,1,0,6,15,1,1,1,2,0,0,1.0,0.1583333333333332,0.6271186440677965,BLIP@Shadow,60.0
56,4,3,1,1,0,21,21,2,2,0,3,1,2,1.0,0.1583333333333332,0.6271186440677965,GPT4V@Shadow,34.0
10,1,4,5,1,0,22,29,2,2,1,5,3,1,0.2,-0.1791666666666666,0.3525423728813559,Random,250.0
